#Mass (M) [kg] ,Time (t) [sec] ,Cycles (M) ,Resting Position ,Stretch (cm)
         0.09 ,         16.07 ,        20 ,            20   ,          23
         0.09 ,         16.10 ,        20 ,            20   ,          23
         0.08 ,         15.16 ,        20 ,            14.2 ,          22
         0.08 ,         15.19 ,        20 ,            14.2 ,          22
         0.07 ,         14.30 ,        20 ,            12.4 ,          21
         0.07 ,         14.28 ,        20 ,            12.4 ,          21
         0.06 ,         13.20 ,        20 ,            10.6 ,          19
         0.06 ,         13.21 ,        20 ,            10.6 ,          19
         0.05 ,         12.13 ,        20 ,             8.7 ,          17
         0.05 ,         12.09 ,        20 ,             8.7 ,          17
