# Start of Lab 2 data
#Mass (M) [kg]        ,Time (t) [sec] ,Cycles (M) ,Resting Position ,Stretch (cm)
0.09                  ,16.07          ,20         ,20               ,23
0.09                  ,16.10          ,20         ,20               ,23
0.08                  ,15.16          ,20         ,14.2             ,22
0.08                  ,15.19          ,20         ,14.2             ,22
0.07                  ,14.30          ,20         ,12.4             ,21
0.07                  ,14.28          ,20         ,12.4             ,21
0.06                  ,13.20          ,20         ,10.6             ,19
0.06                  ,13.21          ,20         ,10.6             ,19
0.05                  ,12.13          ,20         ,8.7              ,17
0.05                  ,12.09          ,20         ,8.7              ,17
0.090                 ,16.12          ,20         ,                 ,
0.080                 ,15.24          ,20         ,                 ,
0.07                  ,14.26          ,20         ,                 ,
0.06                  ,13.17          ,20         ,                 ,
0.05                  ,12.17          ,20         ,                 ,
0.095                 ,24.79          ,30         ,                 ,
0.095                 ,24.77          ,30         ,                 ,
0.095                 ,24.85          ,30         ,                 ,
0.075                 ,22.17          ,30         ,                 ,
0.075                 ,22.10          ,30         ,                 ,
0.075                 ,22.18          ,30         ,                 ,
0.055                 ,18.98          ,30         ,                 ,
0.055                 ,19.00          ,30         ,                 ,
0.055                 ,19.00          ,30         ,                 ,
